text,label
"interessos: ordinadors, electronica. wishlist: power bank, auriculars bluetooth. sempre esta provant dispositius nous i accessoris electronics",tecnologia
li poden agradar regals relacionats amb trekking i aventura,outdoor
trekking,outdoor
"wishlist: manga, novel·la de fantasia, llibre de misteri",llibres
equipament esportiu,esport
"interessos: plans, oci. wishlist: activitat aventura, taller creatiu. gaudeix amb restaurants, escapades i activitats d'oci",experiencies
"wishlist: ratoli gaming, comandament, figura decorativa gaming",gaming
"preferencies: ciencia ficcio, assaig, biblioteca",llibres
"interessos: relax, benestar. wishlist: set skincare, diari de gratitud. li agraden els regals relacionats amb relax i autocura",benestar
le gusta entrenar y hacer actividad fisica,esport
"interessos: entrenament, equipament esportiu. wishlist: banda elastica, guants de fitness. sol utilitzar material esportiu i roba tecnica",esport
"interessos: fitness, pilates. wishlist: guants de fitness, llum per bicicleta. sol utilitzar material esportiu i roba tecnica",esport
"wishlist: llibre de musica, funda instrument, suport per auriculars",musica
outfits,moda
"interessos: rellotges, cosmetica. wishlist: samarreta, bufanda. li fan il·lusio els regals relacionats amb estil i moda",moda
biblioteca,llibres
"wishlist: polsera, ulleres de sol, samarreta",moda
gimnas,esport
"interessos: playstation, xbox, jocs",gaming
gaudeix fent rutes de muntanya i acampades,outdoor
"interessos: meditacio, aromaterapia. wishlist: mascara dormir, manta suau. te interes en benestar, descans i moments tranquils",benestar
"interessos: oci, spa. wishlist: entrada teatre, activitat aventura. prefereix viure experiencies abans que acumular objectes",experiencies
"preferencies: skincare, meditacio, salut",benestar
cosmetica,moda
"preferencies: gimnas, ciclisme, equipament esportiu",esport
"wishlist: quadern de lectura, funda per ebook, llum de lectura",llibres
te interes en productes relacionats amb cafe i gastronomia,cuina
smartphone,tecnologia
"preferencies: instruments, spotify, vinils",musica
"wishlist: mando, auriculares gaming, tarjeta regalo videojuegos",gaming
videojocs,gaming
"tags: gimnas, ciclisme, entrenament",esport
consoles,gaming
li agrada fer esport i mantenir-se actiu,esport
"interessos: lectura, llibres. wishlist: funda per ebook, marcapagines. li agrada llegir i descobrir llibres nous",llibres
entrades,experiencies
"interessos: spa, aromaterapia. wishlist: diari de gratitud, difusor d'aromes. te interes en benestar, descans i moments tranquils",benestar
"wishlist: llibre de misteri, funda per ebook, llum de lectura",llibres
"interessos: accessoris, bosses. wishlist: polsera, mitjons originals. pot valorar accessoris personals o complements de qualitat",moda
"preferencies: cuina, barbacoa, te",cuina
"wishlist: tassa termica, davantal, ganivet de cuina",cuina
"interessos: equipament esportiu, entrenament. wishlist: tovallola de gimnas, estoreta de ioga. li poden encaixar regals relacionats amb gimnàs o activitat fisica",esport
"wishlist: motlles de rebosteria, termometre de cuina, taula de tallar",cuina
accessoris,moda
"tags: fantasia, biblioteca, assaig",llibres
te interes en productes per entrenar millor,esport
"interessos: lectura, comic. wishlist: quadern de lectura, llibre de misteri. sol afegir llibres i comics a les seves llistes",llibres
"preferencies: comic, novel·les, ciencia ficcio",llibres
"tags: trekking, natura, camping",outdoor
"tags: ordinadors, electronica, programacio",tecnologia
"wishlist: bufanda, reloj, gafas de sol",moda
"li agrada: videojocs, streaming, jocs",gaming
"interessos: gaming, playstation. wishlist: llum rgb, auriculars gaming. passa temps jugant amb consola i ordinador",gaming
"preferencies: consoles, playstation, videojocs",gaming
"tags: rellotges, roba, moda",moda
gastronomia,cuina
menjar,cuina
"wishlist: estoreta de ioga, banda elastica, motxilla esportiva",esport
"te interes en benestar, descans i moments tranquils",benestar
"tags: piano, audio, musica",musica
informatica,tecnologia
"preferencies: cocina, cuina, barbacoa",cuina
domotica,tecnologia
"interessos: running, equipament esportiu. wishlist: ampolla esportiva, banda elastica. sol utilitzar material esportiu i roba tecnica",esport
"wishlist: entrades concert, altaveu portatil, llibre de musica",musica
smartwatch,tecnologia
jocs,gaming
fantasia,llibres
"interessos: acampades, rutes. wishlist: tenda de campanya, cantimplora. sol fer plans a l'aire lliure i escapades de cap de setmana",outdoor
li agrada escoltar musica i anar a concerts,musica
"li agrada: ciclisme, esports, entrenament",esport
te,cuina
"tags: aventura, senderisme, aire lliure",outdoor
xbox,gaming
"interessos: aventura, experiencies. wishlist: taller creatiu, activitat aventura. pot valorar un regal en forma d'experiencia o pla especial",experiencies
"wishlist: difusor d'aromes, diari de gratitud, infusions",benestar
"interessos: entrenament, pilates, esports",esport
"interessos: instruments, auriculars, spotify",musica
"deporte, gimnasio, running",esport
"wishlist: cap de setmana rural, visita guiada, targeta regal experiencia",experiencies
"wishlist: entrada teatre, cap de setmana rural, classe de cuina",experiencies
"interessos: benestar, descans. wishlist: set skincare, manta suau. busca objectes que ajudin a relaxar-se i millorar el descans",benestar
"interessos: spotify, instruments. wishlist: pua de guitarra, targeta regal musica. gaudeix amb festivals i activitats musicals",musica
"tags: estil, accessoris, roba",moda
le interesa la ropa y los complementos,moda
"interessos: guitarra, piano. wishlist: altaveu portatil, suport per auriculars. te interes en vinils, instruments i audio",musica
"preferencies: novel·les, comic, llibres",llibres
"interessos: senderisme, camping. wishlist: impermeable, cantimplora. te interes en equipament per camping i senderisme",outdoor
"wishlist: cena, escape room, sesion spa",experiencies
"wishlist: set skincare, sals de bany, mascara dormir",benestar
tecnologia,tecnologia
"wishlist: bufanda, rellotge, polsera",moda
"interessos: nintendo, videojocs. wishlist: joc de taula geek, ratoli gaming. te interes en el mon gaming i els accessoris de setup",gaming
running,esport
"wishlist: ebook reader, comic, quadern de lectura",llibres
"sol interessar-se per roba, accessoris i complements",moda
"interessos: electronica, informatica, gadgets",tecnologia
"interessos: setup gaming, xbox. wishlist: ratoli gaming, suport per comandaments. li fan il·lusio els productes relacionats amb videojocs",gaming
instruments,musica
prefiere planes y actividades antes que objetos,experiencies
te interes per la informatica i els productes tecnologics,tecnologia
li poden encaixar regals per cuinar o preparar postres,cuina
comic,llibres
"interessos: muntanya, aventura. wishlist: bastons de trekking, termo. li poden agradar regals relacionats amb trekking i aventura",outdoor
entrenament,esport
"wishlist: funda instrument, targeta regal musica, suport per auriculars",musica
"interessos: receptes, rebosteria. wishlist: cafetera, ganivet de cuina. sol afegir accessoris de cuina a les seves llistes",cuina
festivals,musica
"interessos: receptes, rebosteria, cocina",cuina
aventura,experiencies
"preferencies: cuina, pastisseria, barbacoa",cuina
sabates,moda
"interessos: aire lliure, camping, natura",outdoor
"wishlist: suport per portatil, altaveu inteligent, carregador wireless",tecnologia
"wishlist: mochila trekking, frontal led, saco de dormir",outdoor
"tags: instruments, vinils, auriculars",musica
"interessos: piano, musica. wishlist: funda instrument, auriculars. gaudeix amb festivals i activitats musicals",musica
skincare,benestar
li agraden els regals relacionats amb relax i autocura,benestar
sol utilitzar material esportiu i roba tecnica,esport
"wishlist: llum per bicicleta, samarreta tecnica, banda elastica",esport
lectura,llibres
"wishlist: cantimplora, sac de dormir, navalla multiusos",outdoor
"interessos: aromaterapia, meditacio, descans",benestar
"interessos: accessoris tecnologics, gadgets. wishlist: auriculars bluetooth, carregador wireless. sempre esta provant dispositius nous i accessoris electronics",tecnologia
manga,llibres
"tags: concerts, piano, instruments",musica
"wishlist: ebook reader, llibre il·lustrat, marcapagines",llibres
"preferencies: fantasia, novel·les, comic",llibres
"interessos: piano, festivals. wishlist: targeta regal musica, pua de guitarra. li agrada escoltar musica i anar a concerts",musica
"tags: estil, outfits, roba",moda
"interessos: cocina, pastisseria. wishlist: cafetera, set d'especies. li poden encaixar regals per cuinar o preparar postres",cuina
"preferencies: aire lliure, trekking, aventura",outdoor
"interessos: running, ciclisme. wishlist: ampolla esportiva, estoreta de ioga. li agrada fer esport i mantenir-se actiu",esport
"interessos: restaurants, entrades. wishlist: targeta regal experiencia, classe de cuina. li agraden els plans diferents i les activitats compartides",experiencies
"interessos: cafe, gastronomia. wishlist: taula de tallar, motlles de rebosteria. te interes en productes relacionats amb cafe i gastronomia",cuina
"wishlist: novel·la de fantasia, llibre de misteri, quadern de lectura",llibres
"wishlist: necesser, samarreta, rellotge",moda
"wishlist: guants de fitness, rellotge esportiu, estoreta de ioga",esport
"interessos: electronica, domotica. wishlist: ratoli ergonomic, suport per portatil. li agraden els accessoris per ordinador i smartphone",tecnologia
"preferencies: camping, aire lliure, senderisme",outdoor
"interessos: joieria, accessoris. wishlist: bufanda, samarreta. sol interessar-se per roba, accessoris i complements",moda
"interessos: camping, senderisme. wishlist: sac de dormir, bastons de trekking. sol fer plans a l'aire lliure i escapades de cap de setmana",outdoor
ciencia ficcio,llibres
roba,moda
"li agrada: mindfulness, relax, spa",benestar
descans,benestar
"wishlist: motxilla urbana, polsera, dessuadora",moda
passa temps jugant amb consola i ordinador,gaming
"tags: senderisme, natura, rutes",outdoor
audio,musica
"experiencias, viajes, restaurantes",experiencies
programacio,tecnologia
"interessos: rutes, aventura. wishlist: frontal led, impermeable. sol fer plans a l'aire lliure i escapades de cap de setmana",outdoor
"interessos: spa, relax, aromaterapia",benestar
rutes,outdoor
"interessos: natacio, ciclisme. wishlist: tovallola de gimnas, motxilla esportiva. te interes en productes per entrenar millor",esport
"interessos: fitness, ciclisme. wishlist: samarreta tecnica, motxilla esportiva. li agrada fer esport i mantenir-se actiu",esport
"wishlist: tassa termica, llibre de receptes, batedora petita",cuina
"interessos: escapades, viatges. wishlist: activitat aventura, cap de setmana rural. gaudeix amb restaurants, escapades i activitats d'oci",experiencies
le gustan las rutas y las escapadas al aire libre,outdoor
"wishlist: samarreta tecnica, llum per bicicleta, estoreta de ioga",esport
"wishlist: diari de gratitud, set skincare, oli essencial",benestar
"li agrada: restaurants, activitats, escapades",experiencies
li agraden els accessoris per ordinador i smartphone,tecnologia
"interessos: fantasia, lectura, assaig",llibres
"wishlist: tassa termica, set d'especies, taula de tallar",cuina
"interessos: cosmetica, moda. wishlist: polsera, bufanda. sol interessar-se per roba, accessoris i complements",moda
sempre esta provant dispositius nous i accessoris electronics,tecnologia
"interessos: consoles, nintendo, setup gaming",gaming
esports,esport
"interessos: cosmetica, bosses. wishlist: ulleres de sol, samarreta. li fan il·lusio els regals relacionats amb estil i moda",moda
viatges,experiencies
"tags: videojocs, jocs, playstation",gaming
pilates,esport
"wishlist: ampolla esportiva, samarreta tecnica, guants de fitness",esport
"tags: accessoris, roba, estil",moda
"preferencies: barbacoa, menjar, pastisseria",cuina
autocura,benestar
li poden encaixar regals relacionats amb gimnàs o activitat fisica,esport
"interessos: pc gaming, videojocs. wishlist: llum rgb, comandament. busca millorar el seu espai de joc amb accessoris gaming",gaming
li agrada la moda i cuidar el seu estil personal,moda
"wishlist: tenda de campanya, termo, frontal led",outdoor
"interessos: entrades, plans, oci",experiencies
te interes en equipament per camping i senderisme,outdoor
vinils,musica
literatura,llibres
"li poden encaixar regals de spa, aromaterapia o skincare",benestar
"interessos: instruments, concerts. wishlist: vinil, pua de guitarra. sol valorar regals relacionats amb so i musica",musica
aventura,outdoor
novel·les,llibres
"wishlist: llibre de receptes, motlles de rebosteria, set d'especies",cuina
"interessos: aventura, escapades. wishlist: activitat aventura, sopar degustacio. li agraden els plans diferents i les activitats compartides",experiencies
"wishlist: altaveu portatil, llibre de musica, targeta regal musica",musica
"wishlist: cafetera, libro de recetas, moldes de reposteria",cuina
"wishlist: guants de fitness, ampolla esportiva, llum per bicicleta",esport
"te interes en vinils, instruments i audio",musica
receptes,cuina
musica,musica
"interessos: oci, entrades. wishlist: classe de cuina, activitat aventura. gaudeix amb restaurants, escapades i activitats d'oci",experiencies
"interessos: autocura, skincare. wishlist: diari de gratitud, set skincare. sol valorar productes per cuidar-se i desconnectar",benestar
"tags: autocura, spa, aromaterapia",benestar
rellotges,moda
"bienestar, relax, autocuidado",benestar
"wishlist: hub usb-c, carregador wireless, smartwatch",tecnologia
"moda, ropa, accesorios",moda
"wishlist: oli essencial, mascara dormir, manta suau",benestar
"interessos: electronica, domotica, gadgets",tecnologia
"wishlist: rellotge, polsera, dessuadora",moda
"interessos: te, pastisseria. wishlist: cafetera, motlles de rebosteria. li agrada cuinar i provar receptes noves",cuina
"preferencies: camping, rutes, aire lliure",outdoor
"interessos: programacio, domotica. wishlist: ratoli ergonomic, teclat mecanic. sol demanar productes relacionats amb tecnologia i electrònica",tecnologia
"interessos: te, gastronomia. wishlist: termometre de cuina, davantal. li agrada cuinar i provar receptes noves",cuina
"interessos: llibres, literatura, biblioteca",llibres
"wishlist: ratoli gaming, joc de taula geek, figura decorativa gaming",gaming
benestar,benestar
"interessos: festivals, vinils. wishlist: altaveu portatil, targeta regal musica. sol valorar regals relacionats amb so i musica",musica
te interes en novel·les de fantasia i ciencia ficcio,llibres
"interessos: playstation, setup gaming. wishlist: suport per comandaments, comandament. li agrada jugar a videojocs i provar jocs nous",gaming
"wishlist: smartwatch, carregador wireless, ratoli ergonomic",tecnologia
"wishlist: impermeable, cantimplora, termo",outdoor
"li agrada: aventura, experiencies, restaurants",experiencies
"interessos: muntanya, senderisme. wishlist: cantimplora, mapa de rutes. sol fer plans a l'aire lliure i escapades de cap de setmana",outdoor
"wishlist: vinil, entrades concert, pua de guitarra",musica
aire lliure,outdoor
barbacoa,cuina
"interessos: comic, novel·les. wishlist: comic, funda per ebook. sol afegir llibres i comics a les seves llistes",llibres
joieria,moda
"wishlist: metrònom, funda instrument, altaveu portatil",musica
"tecnologia, gadgets, informatica",tecnologia
"wishlist: smartwatch, cargador inalambrico, teclado mecanico",tecnologia
li agraden els plans diferents i les activitats compartides,experiencies
"preferencies: pastisseria, cafe, barbacoa",cuina
"tags: auriculars, piano, spotify",musica
le gustan los juegos online y los accesorios para consola,gaming
practica running i activitats de fitness,esport
"musica, conciertos, vinilos",musica
muntanya,outdoor
"preferencies: equipament esportiu, entrenament, gimnas",esport
"tags: cosmetica, roba, sabates",moda
"interessos: electronica, informatica. wishlist: suport per portatil, hub usb-c. te interes per la informatica i els productes tecnologics",tecnologia
"interessos: rellotges, outfits. wishlist: ulleres de sol, polsera. sol interessar-se per roba, accessoris i complements",moda
acampades,outdoor
gaming,gaming
"interessos: accessoris tecnologics, informatica. wishlist: smartwatch, teclat mecanic. sempre esta provant dispositius nous i accessoris electronics",tecnologia
"wishlist: set skincare, diari de gratitud, oli essencial",benestar
spotify,musica
bosses,moda
"preferencies: cuina, te, cafe",cuina
cuina,cuina
"interessos: barbacoa, rebosteria. wishlist: cafetera, tassa termica. te interes en productes relacionats amb cafe i gastronomia",cuina
"wishlist: classe de cuina, activitat aventura, visita guiada",experiencies
"tags: accessoris tecnologics, smartphone, tecnologia",tecnologia
sol afegir accessoris de cuina a les seves llistes,cuina
"wishlist: oli essencial, set skincare, coixi cervical",benestar
"wishlist: metrònom, targeta regal musica, funda instrument",musica
"wishlist: llum led smart, power bank, ratoli ergonomic",tecnologia
busca objectes que ajudin a relaxar-se i millorar el descans,benestar
"preferencies: festivals, piano, instruments",musica
li agrada cuinar i provar receptes noves,cuina
"interessos: salut, meditacio. wishlist: sals de bany, oli essencial. sol valorar productes per cuidar-se i desconnectar",benestar
"li agrada: guitarra, spotify, piano",musica
aromaterapia,benestar
"wishlist: set d'especies, cafetera, batedora petita",cuina
"interessos: gastronomia, cuina. wishlist: davantal, termometre de cuina. sol afegir accessoris de cuina a les seves llistes",cuina
sol valorar productes per cuidar-se i desconnectar,benestar
le gustan los regalos para descansar y desconectar,benestar
"wishlist: pua de guitarra, suport per auriculars, metrònom",musica
"preferencies: te, menjar, rebosteria",cuina
spa,experiencies
li agraden els gadgets i la tecnologia practica,tecnologia
"wishlist: botella deportiva, camiseta tecnica, esterilla de yoga",esport
"interessos: oci, plans. wishlist: sopar degustacio, escape room. pot valorar un regal en forma d'experiencia o pla especial",experiencies
ordinadors,tecnologia
excursions,outdoor
"interessos: accessoris, bosses, cosmetica",moda
"interessos: literatura, llibres. wishlist: llibre de misteri, comic. li agrada llegir i descobrir llibres nous",llibres
"wishlist: sessio spa, activitat aventura, escape room",experiencies
"camping, excursiones, montaña",outdoor
li agrada jugar a videojocs i provar jocs nous,gaming
"interessos: gadgets, electronica, ordinadors",tecnologia
"tags: streaming, videojocs, jocs",gaming
assaig,llibres
natacio,esport
meditacio,benestar
"wishlist: targeta regal videojocs, estora gran, llum rgb",gaming
"interessos: streaming, pc gaming. wishlist: figura decorativa gaming, ratoli gaming. li agrada jugar a videojocs i provar jocs nous",gaming
"wishlist: entrada teatre, escape room, activitat aventura",experiencies
gadgets,tecnologia
"interessos: spa, activitats, entrades",experiencies
"interessos: videojocs, gaming. wishlist: ratoli gaming, auriculars gaming. li agrada jugar a videojocs i provar jocs nous",gaming
camping,outdoor
"interessos: mindfulness, meditacio. wishlist: mascara dormir, difusor d'aromes. sol valorar productes per cuidar-se i desconnectar",benestar
sol afegir llibres i comics a les seves llistes,llibres
spa,benestar
"wishlist: llum de lectura, marcapagines, llibre de misteri",llibres
"interessos: musica, audio. wishlist: funda instrument, pua de guitarra. te interes en vinils, instruments i audio",musica
"interessos: tecnologia, domotica. wishlist: hub usb-c, smartwatch. li agraden els gadgets i la tecnologia practica",tecnologia
"wishlist: novel·la de fantasia, llibre de misteri, marcapagines",llibres
estil,moda
"wishlist: targeta regal videojocs, joc de taula geek, estora gran",gaming
fitness,esport
natura,outdoor
"wishlist: carregador wireless, hub usb-c, smartwatch",tecnologia
"tags: gadgets, tecnologia, smartphone",tecnologia
"wishlist: bufanda, necesser, ulleres de sol",moda
"interessos: bosses, outfits. wishlist: bufanda, ulleres de sol. li agrada la moda i cuidar el seu estil personal",moda
experiencies,experiencies
li agrada llegir i descobrir llibres nous,llibres
"preferencies: aventura, oci, experiencies",experiencies
"cocina, gastronomia, recetas",cuina
mindfulness,benestar
"wishlist: suport per comandaments, auriculars gaming, cadira gaming",gaming
"interessos: assaig, fantasia, comic",llibres
"wishlist: samarreta tecnica, ampolla esportiva, motxilla esportiva",esport
le gusta escuchar musica y asistir a conciertos,musica
"interessos: accessoris tecnologics, domotica. wishlist: teclat mecanic, power bank. te interes per la informatica i els productes tecnologics",tecnologia
"wishlist: cantimplora, tenda de campanya, sac de dormir",outdoor
escapades,experiencies
"interessos: guitarra, concerts. wishlist: altaveu portatil, suport per auriculars. li agrada escoltar musica i anar a concerts",musica
le gustan las novelas de fantasia y los comics,llibres
"wishlist: classe de cuina, sessio spa, escape room",experiencies
"interessos: entrades, aventura. wishlist: entrada teatre, taller creatiu. li poden encaixar activitats, tallers o entrades per esdeveniments",experiencies
"wishlist: motxilla trekking, termo, tenda de campanya",outdoor
"li agrada: relax, descans, autocura",benestar
"interessos: experiencies, activitats. wishlist: cap de setmana rural, activitat aventura. li agraden els plans diferents i les activitats compartides",experiencies
"wishlist: batedora petita, davantal, termometre de cuina",cuina
li fan il·lusio els regals relacionats amb lectura,llibres
salut,benestar
"wishlist: taller creatiu, visita guiada, cap de setmana rural",experiencies
"tags: programacio, domotica, smartphone",tecnologia
"wishlist: banda elastica, llum per bicicleta, tovallola de gimnas",esport
pastisseria,cuina
te interes en peces practiques i boniques per vestir,moda
piano,musica
setup gaming,gaming
plans,experiencies
rebosteria,cuina
"interessos: pc gaming, videojocs. wishlist: auriculars gaming, estora gran. te interes en el mon gaming i els accessoris de setup",gaming
"preferencies: outfits, bosses, rellotges",moda
cocina,cuina
li poden agradar accessoris per escoltar musica millor,musica
"gaudeix amb restaurants, escapades i activitats d'oci",experiencies
"interessos: plans, entrades, viatges",experiencies
"wishlist: frontal led, motxilla trekking, cantimplora",outdoor
"wishlist: ebook reader, manga, luz de lectura",llibres
"interessos: trekking, aventura. wishlist: termo, bastons de trekking. sol fer plans a l'aire lliure i escapades de cap de setmana",outdoor
te interes en el mon gaming i els accessoris de setup,gaming
sol valorar regals relacionats amb so i musica,musica
"interessos: novel·les, assaig. wishlist: llibre de misteri, comic. gaudeix amb llibres, manga i histories il·lustrades",llibres
streaming,gaming
"wishlist: set skincare, espelma aromatica, diari de gratitud",benestar
auriculars,musica
"interessos: running, equipament esportiu. wishlist: mitjons tecnics, guants de fitness. te interes en productes per entrenar millor",esport
"wishlist: power bank, smartwatch, auriculars bluetooth",tecnologia
"wishlist: carregador wireless, auriculars bluetooth, ratoli ergonomic",tecnologia
busca millorar el seu espai de joc amb accessoris gaming,gaming
"wishlist: auriculars gaming, llum rgb, targeta regal videojocs",gaming
cafe,cuina
activitats,experiencies
"interessos: gimnas, fitness. wishlist: estoreta de ioga, ampolla esportiva. sol utilitzar material esportiu i roba tecnica",esport
"li poden encaixar activitats, tallers o entrades per esdeveniments",experiencies
"interessos: pastisseria, cocina. wishlist: motlles de rebosteria, llibre de receptes. gaudeix amb la pastisseria i els estris de cuina",cuina
"interessos: joieria, bosses. wishlist: bossa, dessuadora. li agrada la moda i cuidar el seu estil personal",moda
"interessos: electronica, smartphone. wishlist: carregador wireless, teclat mecanic. sol demanar productes relacionats amb tecnologia i electrònica",tecnologia
restaurants,experiencies
"interessos: biblioteca, fantasia. wishlist: quadern de lectura, novel·la de fantasia. gaudeix amb llibres, manga i histories il·lustrades",llibres
"wishlist: samarreta, bufanda, motxilla urbana",moda
senderisme,outdoor
moda,moda
pot valorar accessoris personals o complements de qualitat,moda
"interessos: smartwatch, programacio, tecnologia",tecnologia
"interessos: cocina, barbacoa. wishlist: tassa termica, ganivet de cuina. li agrada cuinar i provar receptes noves",cuina
"interessos: manga, lectura. wishlist: ebook reader, manga. sol afegir llibres i comics a les seves llistes",llibres
"wishlist: vinilo, altavoz portatil, entradas concierto",musica
"tags: xbox, gaming, jocs",gaming
li agraden les excursions i les activitats a la natura,outdoor
"interessos: estil, joieria. wishlist: necesser, ulleres de sol. te interes en peces practiques i boniques per vestir",moda
"interessos: natura, senderisme. wishlist: frontal led, bastons de trekking. sol fer plans a l'aire lliure i escapades de cap de setmana",outdoor
"tags: roba, outfits, bosses",moda
"preferencies: natacio, running, ciclisme",esport
"libros, lectura, novelas",llibres
"interessos: benestar, mindfulness, meditacio",benestar
"li agrada: entrades, restaurants, escapades",experiencies
"wishlist: impermeable, mapa de rutes, tenda de campanya",outdoor
gaudeix amb la pastisseria i els estris de cuina,cuina
"wishlist: cadira gaming, suport per comandaments, figura decorativa gaming",gaming
gaudeix amb festivals i activitats musicals,musica
"preferencies: ciclisme, esports, fitness",esport
accessoris tecnologics,tecnologia
"interessos: senderisme, camping. wishlist: navalla multiusos, termo. li poden agradar regals relacionats amb trekking i aventura",outdoor
"interessos: meditacio, spa. wishlist: manta suau, set skincare. te interes en benestar, descans i moments tranquils",benestar
nintendo,gaming
"wishlist: mapa de rutes, tenda de campanya, termo",outdoor
"interessos: instruments, audio. wishlist: suport per auriculars, auriculars. li agrada escoltar musica i anar a concerts",musica
"wishlist: vela aromatica, difusor, mascarilla dormir",benestar
"interessos: excursions, muntanya. wishlist: frontal led, tenda de campanya. sol fer plans a l'aire lliure i escapades de cap de setmana",outdoor
"interessos: oci, experiencies, aventura",experiencies
relax,benestar
"wishlist: sessio spa, entrada teatre, activitat aventura",experiencies
"interessos: ciencia ficcio, fantasia. wishlist: manga, ebook reader. sol afegir llibres i comics a les seves llistes",llibres
"preferencies: autocura, mindfulness, relax",benestar
"interessos: xbox, streaming. wishlist: suport per comandaments, auriculars gaming. passa temps jugant amb consola i ordinador",gaming
"interessos: ordinadors, smartwatch. wishlist: smartwatch, hub usb-c. sol demanar productes relacionats amb tecnologia i electrònica",tecnologia
"interessos: cafe, te. wishlist: llibre de receptes, cafetera. gaudeix amb la pastisseria i els estris de cuina",cuina
"interessos: setup gaming, nintendo, xbox",gaming
le gustan los auriculares bluetooth y los accesorios para ordenador,tecnologia
