text,labels
"retro gaming, pilates, Nintendo, salut, ioga, videojocs. coses que li agraden: artbook videojoc, espelma, bossa petita, ampolla fitness, organitzador, estoreta ioga. tags rellevants: fitness, retro, cumple, ioga, figura, nintendo, col·lecció, pilates. objectes de col·lecció relacionats amb videojocs, llistat provisional amb idees variades, regal orientatiu per si algu no sap que comprar, material per cuidar el cos, benestar actiu","wellbeing_fitness,gaming_collectibles"
"interessos: viatjar, escapades, rutes. wishlist títols: idees nadal, wishlist, coses que m'agraden. wishlist productes: adaptador universal, mapa rascable, bateig escalada, parc aventura, kayak, organitzador de maleta. tags rellevants: activitat, escapada, viatge, adrenalina, aventura. descripcions productes: idees per escapades i viatges, plans actius i diferents","outdoor_travel,experiences_adventure"
"interessos: festivals, concerts. wishlist títols: idees regal, wishlist, cumple. wishlist productes: concert acústic, entrada concert, abonament festival. tags rellevants: música en directe, concert. descripcions productes: entrades i experiències musicals",music_live_events
"interessos principals: gastronomia, menjar, restaurants. wishlist títols: coses que m'agraden. wishlist productes: tassa amistat, pack gourmet, cafè especialitat, pack sorpresa, xocolata artesanal, oli d'oliva premium, bossa petita. tags rellevants: . descripcions productes: productes gourmet, opcio flexible dins del pressupost. pressupost orientatiu: 15",cooking_gourmet
"interessos principals: ficció, llegir, novel·les. hobbies: ficció, llegir, novel·les. interessos: ficció, llegir, novel·les. wishlist productes: llibre de fantasia, novel·la contemporània, thriller, novel·la de ciència ficció, tassa amistat. tags rellevants: ficció, novel·la, lectura. descripcions productes: novel·les recomanades, llibres pendents de llegir. pressupost orientatiu: 30",books_novels
"cultura, rutes, museus, exposicions, viatjar, cinema. coses que li agraden: exposició immersiva, entrada museu, motxilla de viatge, gorra, mapa rascable, organitzador de maleta, llibre pendent. tags rellevants: idea, accessori, cinema, teatre, cultura. experiències culturals, entrades per activitats culturals, accessoris útils per viatjar, idees per escapades i viatges","outdoor_travel,experiences_cultural"
"wishlist productes: sabatilles running, clauer, kit lettering, càmera instantània, mitjons tècnics, gorra, exposició anime, entrada Comic Con, llibre pendent, ronyonera esportiva. descripcions wishlist: . interessos principals: DIY, convencions, pintura. pressupost orientatiu: 30","sports_running,entertainment_events"
"interessos: domòtica, gadgets, tecnologia, informàtica. wishlist títols: wishlist, llista regals. wishlist productes: smartwatch, llum intel·ligent, powerbank, sensor de moviment, endoll intel·ligent, mitjons. tags rellevants: casa, tech, gadget, electrònica. descripcions productes: dispositius per a la llar intel·ligent, petits dispositius tecnològics, gadgets útils per al dia a dia","tech_smart_home,tech_gadgets"
"interessos: lectura, ficció, llegir, novel·les. wishlist títols: idees nadal. wishlist productes: novel·la de ciència ficció, novel·la contemporània, llibre de fantasia. tags rellevants: ficció, novel·la, lectura. descripcions productes: llibres pendents de llegir, novel·les recomanades",books_novels
"interessos principals: road trips, sneakers, amics, gastronomia, netflix, rutes. wishlist títols: coses que m'agraden. wishlist productes: oli d'oliva premium, motxilla de viatge, sabates casual. tags rellevants: cafè, sneakers, gourmet, streetwear, sabates, menjar, zara, maleta. descripcions productes: idees per a l aniversari, experiències gastronòmiques. pressupost orientatiu: 20","cooking_gourmet,outdoor_travel"
"zara, nadal, pilates, instagram. coses que li agraden: llibre pendent, rodet massatge, ampolla fitness, bloc ioga. tags rellevants: fitness, pilates, amazon. material per cuidar el cos, benestar actiu",wellbeing_fitness
"hobbies: road trips, viatjar, rutes, escapades. wishlist productes: mapa rascable, motxilla de viatge, organitzador de maleta. tags rellevants: viatge, escapada, travel, maleta. pressupost orientatiu: 25",outdoor_travel
"interessos principals: sèries, fandom, Marvel, Star Wars, gaming. descripcions wishlist: roba i decoració gaming, marxandatge de videojocs, marxandatge de sèries i pel·lícules. wishlist productes: dessuadora Playstation, tassa Ghibli, samarreta Star Wars, pòster gaming, tassa videojocs, Funko Pop, figura Marvel. pressupost orientatiu: 15","gaming_merch,entertainment_merch"
"interessos principals: música en directe, concerts, festivals. descripcions wishlist: plans de música en directe, entrades i experiències musicals. wishlist productes: concert acústic, abonament festival, entrada concert, bossa petita. pressupost orientatiu: 25",music_live_events
"hobbies: gastronomia, cuinar, receptes. wishlist productes: davantal, ganivet de cuina, motlle silicona, paella antiadherent, tassa amistat. tags rellevants: estris, receptes. pressupost orientatiu: 75",cooking_tools
"wishlist productes: sabatilles running, ronyonera esportiva, armilla running. descripcions wishlist: material de running, equipament per sortir a córrer. interessos principals: marató, córrer. pressupost orientatiu: 100",sports_running
"interessos principals: tastos, cuina, cinema, podcasts. wishlist títols: idees nadal, cumple. wishlist productes: barra de so, organitzador, DAC portàtil, tassa amistat, brunch especial, tast de vins. tags rellevants: so, gastronomia, restaurant, audio, tast, bluetooth, menjar. descripcions productes: opcio flexible dins del pressupost, experiències gastronòmiques, accessoris per escoltar música i podcasts, m agrada pero no es imprescindible. pressupost orientatiu: 100",experiences_food
"interessos principals: llegir, novel·les, lectura, ficció. descripcions wishlist: llibres pendents de llegir. wishlist productes: novel·la contemporània, thriller, novel·la de ciència ficció, mitjons. pressupost orientatiu: 25",books_novels
"plans en parella, escapades romàntiques. coses que li agraden: spa en parella, escapada romàntica, hotel rural. tags rellevants: . ",experiences_romantic
"hobbies: cinema, Star Wars, fandom. wishlist productes: Funko Pop, samarreta Star Wars, tassa Ghibli. tags rellevants: sèries, fandom, anime. pressupost orientatiu: 75",entertainment_merch
"PC, música, videojocs. coses que li agraden: pues guitarra, tassa amistat, ganivet de cuina, set skincare. tags rellevants: setup, instrument, accessori, amic invisible, zara. m agrada pero no es imprescindible, material per instruments","cooking_tools,music_instruments,wellbeing_selfcare"
"interessos: gadgets, casa intel·ligent, tecnologia, domòtica. wishlist títols: cumple, llista regals, coses que m'agraden. wishlist productes: powerbank, bombeta intel·ligent, mini impressora, endoll intel·ligent, llum intel·ligent, altaveu intel·ligent, sensor de moviment. tags rellevants: smart, domòtica, electrònica, smart home. descripcions productes: gadgets útils per al dia a dia, petits dispositius tecnològics, automatitzar petites coses de casa","tech_smart_home,tech_gadgets"
"interessos principals: assaig, estudiar. wishlist títols: cumple. wishlist productes: bidó ciclisme, tassa amistat, davantal, bossa sillín, guants ciclisme, paella antiadherent, bossa petita, ratolí ergonòmic, motlle silicona. tags rellevants: cuina, amic invisible, filosofia, receptes, bicicleta, divulgació, BTT. descripcions productes: . pressupost orientatiu: 30","tech_productivity,cooking_tools,books_essays"
"interessos: novel·la gràfica, anime, còmic. wishlist títols: aniversari. wishlist productes: còmic Marvel, samarreta Star Wars, figura Marvel, tassa Ghibli, pòster anime, volum manga, Funko Pop. tags rellevants: còmic, anime. descripcions productes: marxandatge de sèries i pel·lícules, novel·les gràfiques, figures i objectes de fandom","books_comics,entertainment_merch"
"interessos: pintura, DIY, fotografia. wishlist títols: wishlist. wishlist productes: aquarel·les, càmera instantània, retoladors, quadern de dibuix. tags rellevants: art, creativitat. descripcions productes: material creatiu, eines per dibuixar o fer manualitats",art_creative
"hobbies: running, trail. wishlist productes: mitjons tècnics, sabatilles running, armilla running, ronyonera esportiva. tags rellevants: córrer, trail, sabatilles, running. pressupost orientatiu: 20",sports_running
"wishlist productes: mapa rascable, organitzador de maleta, adaptador universal, motxilla de viatge. descripcions wishlist: opcio flexible dins del pressupost, idees per escapades i viatges, accessoris útils per viatjar. interessos principals: escapades, rutes. pressupost orientatiu: 10",outdoor_travel
"interessos principals: cuinar, receptes. hobbies: cuinar, receptes. interessos: cuinar, receptes. wishlist productes: davantal, motlle silicona, ganivet de cuina, pack sorpresa. tags rellevants: cuina, receptes, estris. descripcions productes: estris de cuina útils. pressupost orientatiu: 75",cooking_tools
"interessos principals: oficina, tecnologia, productivitat. hobbies: oficina, tecnologia, productivitat. interessos: oficina, tecnologia, productivitat. wishlist productes: suport de portàtil, teclat mecànic, llum d'escriptori, ratolí ergonòmic, hub USB-C. tags rellevants: programació, productivitat. descripcions productes: accessoris per estudiar o programar. pressupost orientatiu: 75",tech_productivity
"interessos: ficció, novel·les. wishlist títols: idees regal, coses que m'agraden. wishlist productes: novel·la de ciència ficció, llibre de fantasia, novel·la contemporània, gorra. tags rellevants: novel·la, ficció. descripcions productes: novel·les recomanades",books_novels
"hobbies: zara, cumple, joieria, sorpreses, moda. interessos: zara, cumple, joieria, sorpreses, moda. productes: polsera, tassa amistat, collaret, arracades, anell senzill, espelma, bossa petita. tags: . notes: joieria senzilla, coses que m agraden pero no se exactament que comprar",fashion_jewelry
"interessos principals: camping, trekking, acampades, natura. descripcions wishlist: material per acampar, equipament per caminar per muntanya, material per fer excursions. wishlist productes: sac de dormir, bastons de senderisme, frontal LED, motxilla trekking, tenda de campanya, estoreta inflable. pressupost orientatiu: 75","outdoor_hiking,outdoor_camping"
"hobbies: cap de setmana, sorpreses. interessos: cap de setmana, sorpreses. productes: sac de dormir, bossa petita, afinador, suport guitarra, pues guitarra, tenda de campanya, partitures. tags: instrument, piano, guitarra, camping, tenda, zara, acampada, natura. notes: producte pendent de revisar, coses per anar de camping, coses que m agraden pero no se exactament que comprar, material per instruments, accessoris per tocar música, material per acampar, m agrada pero no es imprescindible","music_instruments,outdoor_camping"
"interessos: gaming, videojocs, fandom. wishlist títols: aniversari, wishlist. wishlist productes: dessuadora Playstation, samarreta Zelda, tassa videojocs, pòster gaming, targeta regal. tags rellevants: poster, gaming, sorpresa. descripcions productes: roba i decoració gaming",gaming_merch
"wishlist productes: sensor de moviment, bufanda equip, pilota futbol, entrada partit, altaveu intel·ligent, bombeta intel·ligent, espelma, samarreta del Barça, endoll intel·ligent. descripcions wishlist: coses que m agraden pero no se exactament que comprar, producte pendent de revisar, opcio flexible dins del pressupost, automatitzar petites coses de casa. interessos principals: casa intel·ligent, manualitats random, equip. pressupost orientatiu: 25",tech_smart_home
"interessos: gastronomia, te. wishlist títols: aniversari. wishlist productes: xocolata artesanal, oli d'oliva premium, pack gourmet, cafè especialitat, tassa amistat. tags rellevants: delicatessen, cafè. descripcions productes: productes gourmet",cooking_gourmet
"wishlist productes: manual de productivitat, cafè especialitat, pack gourmet, llibre d'arquitectura software, oli d'oliva premium, xocolata artesanal. descripcions wishlist: llibres tècnics per aprendre, experiències gastronòmiques, manuals de programació i enginyeria. interessos principals: tecnologia, programació, te, gastronomia, menjar. pressupost orientatiu: 50","books_technical,cooking_gourmet"
"hobbies: autocura, rutines. wishlist productes: crema mans, set skincare, kit autocura. tags rellevants: skincare, benestar. pressupost orientatiu: 75",wellbeing_selfcare
"interessos principals: descans, relax, spa, desconnexió. wishlist títols: coses que m'agraden, wishlist. wishlist productes: coixí cervical, difusor aromes, organitzador, manta suau. tags rellevants: . descripcions productes: coses que m agraden pero no se exactament que comprar, idees per a l aniversari, regal orientatiu per si algu no sap que comprar, regals per descansar, coses per relaxar-se. pressupost orientatiu: 10",wellbeing_relaxation
"interessos principals: assaig, història, filosofia, divulgació. hobbies: assaig, història, filosofia, divulgació. interessos: assaig, història, filosofia, divulgació. wishlist productes: llibre de filosofia, divulgació científica, assaig històric, biografia. tags rellevants: història, filosofia, divulgació, assaig, amazon. descripcions productes: assaigs i divulgació. pressupost orientatiu: 50",books_essays
"netflix, moda, anime, equip, esport, convencions. coses que li agraden: exposició anime, pilota futbol, sabates casual, bufanda equip, organitzador, sessió cinema. tags rellevants: . ","fashion_sneakers,entertainment_events,sports_team"
"wishlist productes: exposició immersiva, llibre de filosofia, rodet massatge, caixa sorpresa, entrada museu, sessió de cinema, ampolla fitness, pack sorpresa, detall personalitzat. descripcions wishlist: . interessos principals: exposicions, museus, salut, fitness, cultura. pressupost orientatiu: 50","books_essays,wellbeing_fitness"
"hobbies: PC, videojocs, setup gaming. wishlist productes: alfombreta XXL, ratolí gaming, comandament bluetooth, teclat gaming. tags rellevants: perifèrics, setup, amic invisible. pressupost orientatiu: 100",gaming_accessories
"interessos principals: cultura, museus. hobbies: cultura, museus. interessos: cultura, museus. wishlist productes: sessió de cinema, entrada teatre, exposició immersiva, entrada museu, espelma. tags rellevants: museu, cinema, teatre. descripcions productes: entrades per activitats culturals. pressupost orientatiu: 100",experiences_cultural
"hobbies: dibuix, còmic, anime, fotografia. wishlist productes: còmic Marvel, kit lettering, aquarel·les, novel·la gràfica, quadern de dibuix, bossa petita. tags rellevants: comic, dibuix, anime. pressupost orientatiu: 25","art_creative,books_comics"
"receptes, cuinar. coses que li agraden: funda mòbil, tassa amistat, ganivet de cuina, llibre de fantasia, targeta regal. tags rellevants: cuina, smartphone, receptes, lectura, estris. complements per carregar i protegir el mòbil, accessoris per cuinar millor, estris de cuina útils, producte pendent de revisar","cooking_tools,books_novels,tech_mobile"
"interessos: senderisme, marató, trekking. wishlist títols: idees nadal, idees regal, llista regals. wishlist productes: botes de muntanya, bastons de senderisme, armilla running. tags rellevants: senderisme, muntanya, trekking, córrer. descripcions productes: material per fer excursions, equipament per sortir a córrer","outdoor_hiking,sports_running"
"interessos principals: bicicleta, BTT, ciclisme. hobbies: bicicleta, BTT, ciclisme. interessos: bicicleta, BTT, ciclisme. wishlist productes: llum bicicleta, bossa sillín, bidó ciclisme, guants ciclisme. tags rellevants: bici, BTT, ciclisme, bicicleta, nadal. descripcions productes: accessoris per bicicleta. pressupost orientatiu: 40",sports_cycling
"hobbies: política, divulgació. wishlist productes: assaig històric, biografia, llibre de filosofia, detall personalitzat. tags rellevants: història, assaig, divulgació. pressupost orientatiu: 20",books_essays
"interessos principals: tecnologia, oficina, descans, amazon, cumple, netflix. wishlist títols: llista regals. wishlist productes: suport de portàtil, coixí cervical, ratolí ergonòmic, manta suau, llum d'escriptori, hub USB-C. tags rellevants: productivitat, nadal, sorpresa, oficina. descripcions productes: regals per descansar, coses per relaxar-se, millorar el setup de treball. pressupost orientatiu: 10",wellbeing_relaxation
"trekking, zara, senderisme, excursions, regals, muntanya. coses que li agraden: bossa petita, mitjons, jaqueta impermeable, botes de muntanya, motxilla trekking. tags rellevants: casa, zara, senderisme, excursions, accessori. ",outdoor_hiking
"wishlist productes: clauer, gorra, sals de bany, altaveu portàtil, kit autocura, micròfon USB, detall personalitzat, DAC portàtil. descripcions wishlist: accessoris per escoltar música i podcasts, rutines de benestar, millorar la qualitat de so, productes d'autocura. interessos principals: autocura, música, rutines, àudio, tecnologia. pressupost orientatiu: 20",tech_audio
"hobbies: trekking, senderisme, excursions. wishlist productes: bastons de senderisme, motxilla trekking, jaqueta impermeable, botes de muntanya, targeta regal. tags rellevants: senderisme, muntanya, excursions, nadal. pressupost orientatiu: 30",outdoor_hiking
"interessos principals: història, cumple, filosofia, música, tocar música, sortir. wishlist títols: idees nadal, idees regal, llista regals. wishlist productes: biografia, partitures, pues guitarra, suport guitarra, organitzador, divulgació científica, mitjons, afinador, llibre de filosofia. tags rellevants: guitarra, casa, filosofia, instrument. descripcions productes: regal orientatiu per si algu no sap que comprar, assaigs i divulgació, coses que m agraden pero no se exactament que comprar, llibres per reflexionar, m agrada pero no es imprescindible. pressupost orientatiu: 100",books_essays
"interessos: fandom, gaming, videojocs. wishlist títols: aniversari. wishlist productes: dessuadora Playstation, tassa videojocs, pòster gaming. tags rellevants: merch, samarreta, poster, idea. descripcions productes: marxandatge de videojocs, roba i decoració gaming",gaming_merch
"wishlist productes: ampolla fitness, difusor aromes, bloc ioga, rodet massatge, espelmes aromàtiques, suport de mòbil. descripcions wishlist: . interessos principals: ioga, plans, desconnexió, fotografia mòbil, salut. pressupost orientatiu: 100","wellbeing_relaxation,wellbeing_fitness,tech_mobile"
"hobbies: viatjar, escapades. wishlist productes: adaptador universal, mapa rascable, motxilla de viatge. tags rellevants: viatge, escapada. pressupost orientatiu: 75",outdoor_travel
"interessos principals: cinema, festivals, àudio. hobbies: cinema, festivals, àudio. interessos: cinema, festivals, àudio. wishlist productes: entrada concert, altaveu portàtil, micròfon USB, auriculars bluetooth, abonament festival. tags rellevants: bluetooth, auriculars, música en directe, festival, audio, so. descripcions productes: accessoris per escoltar música i podcasts, plans de música en directe. pressupost orientatiu: 40","tech_audio,music_live_events"
"interessos principals: muntanya, excursions. hobbies: muntanya, excursions. interessos: muntanya, excursions. wishlist productes: botes de muntanya, bastons de senderisme, motxilla trekking, jaqueta impermeable. tags rellevants: muntanya, senderisme, excursions. descripcions productes: material per fer excursions, equipament per caminar per muntanya. pressupost orientatiu: 100",outdoor_hiking
"interessos principals: tecnologia, running, trail, córrer. hobbies: tecnologia, running, trail, córrer. interessos: tecnologia, running, trail, córrer. wishlist productes: DAC portàtil, sabatilles running, micròfon USB, altaveu portàtil, armilla running, mitjons tècnics, llibre pendent. tags rellevants: running, trail. descripcions productes: equipament per sortir a córrer, millorar la qualitat de so, material de running. pressupost orientatiu: 30","sports_running,tech_audio"
"hobbies: manualitats, DIY. wishlist productes: kit lettering, retoladors, càmera instantània, clauer. tags rellevants: creativitat, manualitats. pressupost orientatiu: 20",art_creative
"hobbies: autocura, skincare, benestar. wishlist productes: sals de bany, kit autocura, set skincare, clauer. tags rellevants: skincare, benestar. pressupost orientatiu: 30",wellbeing_selfcare
"interessos: divulgació, assaig, política. wishlist títols: wishlist. wishlist productes: biografia, assaig històric, llibre de filosofia, divulgació científica, clauer. tags rellevants: història, assaig, divulgació, filosofia, casa. descripcions productes: assaigs i divulgació, llibres per reflexionar",books_essays
"tecnologia, productivitat, programació, oficina, skincare, sorpreses. coses que li agraden: set skincare, mitjons, ratolí ergonòmic, sals de bany, hub USB-C, crema mans, suport de portàtil, pack sorpresa. tags rellevants: idea, skincare, programació, setup, productivitat, sorpresa, cumple, oficina, autocura, benestar. rutines de benestar, millorar el setup de treball, accessoris per estudiar o programar",tech_productivity
"hobbies: streetwear, moda, sneakers, sabates. interessos: streetwear, moda, sneakers, sabates. productes: sabates casual, sabatilles Nike, sneakers Adidas. tags: streetwear, barat, accessori, sneakers, sabates. notes: ",fashion_sneakers
"interessos principals: cuina, escapades romàntiques, sorpreses, restaurants, casa. wishlist títols: llista regals. wishlist productes: sopar degustació, classe de cuina, hotel rural, escapada romàntica, mitjons, targeta regal, spa en parella, brunch especial, llibre pendent, sopar especial. tags rellevants: sorpresa, romàntic, regal, tast, escapada, parella, gastronomia, menjar. descripcions productes: experiències romàntiques, plans especials en parella, regal orientatiu per si algu no sap que comprar, opcio flexible dins del pressupost, experiències gastronòmiques. pressupost orientatiu: 10","experiences_food,experiences_romantic"
"interessos principals: tecnologia, cafè, menjar, restaurants, amics, gastronomia, domòtica. wishlist títols: coses que m'agraden, idees nadal. wishlist productes: endoll intel·ligent, sensor de moviment, pack gourmet, oli d'oliva premium. tags rellevants: cumple, idea, menjar, automatització, sorpresa, casa. descripcions productes: coses que m agraden pero no se exactament que comprar, opcio flexible dins del pressupost, llistat provisional amb idees variades, dispositius per a la llar intel·ligent, automatitzar petites coses de casa. pressupost orientatiu: 75",tech_smart_home
"interessos principals: videojocs, fandom. descripcions wishlist: figures i objectes de fandom, marxandatge de sèries i pel·lícules, marxandatge de videojocs. wishlist productes: dessuadora Playstation, pòster anime, samarreta Zelda, samarreta Star Wars, tassa Ghibli, figura Marvel, tassa videojocs, targeta regal. pressupost orientatiu: 15","gaming_merch,entertainment_merch"
"interessos principals: novel·la gràfica, anime, còmic, manga. hobbies: novel·la gràfica, anime, còmic, manga. interessos: novel·la gràfica, anime, còmic, manga. wishlist productes: novel·la gràfica, volum manga, còmic Marvel. tags rellevants: manga, comic, còmic, anime. descripcions productes: còmics i manga pendents. pressupost orientatiu: 50",books_comics
"interessos principals: ficció, llegir, lectura. hobbies: ficció, llegir, lectura. interessos: ficció, llegir, lectura. wishlist productes: exposició immersiva, sessió de cinema, novel·la contemporània, llibre de fantasia, entrada teatre, entrada museu, espelma. tags rellevants: museu, lectura, teatre, novel·la, cultura, cinema. descripcions productes: llibres pendents de llegir, experiències culturals, entrades per activitats culturals. pressupost orientatiu: 15","books_novels,experiences_cultural"
"sortir, youtube, manualitats, novel·la gràfica, cumple, viatjar. coses que li agraden: organitzador de maleta, caixa sorpresa, aquarel·les, còmic Marvel, motxilla de viatge, volum manga, manga Berserk, adaptador universal, organitzador, mapa rascable. tags rellevants: dibuix, maleta, amazon, escapada, anime, art. ","art_creative,outdoor_travel"
"interessos principals: oficina, tecnologia, productivitat. hobbies: oficina, tecnologia, productivitat. interessos: oficina, tecnologia, productivitat. wishlist productes: hub USB-C, suport de portàtil, ratolí ergonòmic, teclat mecànic. tags rellevants: programació, oficina. descripcions productes: millorar el setup de treball. pressupost orientatiu: 100",tech_productivity
"hobbies: ioga, fitness. wishlist productes: rodet massatge, bloc ioga, estoreta ioga, ampolla fitness, detall personalitzat. tags rellevants: ioga, fitness, salut. pressupost orientatiu: 100",wellbeing_fitness
"hobbies: programació, nedar, aprendre, tecnologia. interessos: programació, nedar, aprendre, tecnologia. productes: llibre de Kotlin, llibre d'arquitectura software, Clean Code. tags: nedar, accessori, amazon, programació, nadal. notes: accessoris per piscina, material per entrenar natació",books_technical
"interessos principals: cinema, música en directe, tecnologia. wishlist títols: wishlist. wishlist productes: micròfon USB, altaveu portàtil, aquarel·les, càmera instantània. tags rellevants: concert, amazon, bluetooth, so, auriculars, cumple, música en directe, dibuix, art. descripcions productes: . pressupost orientatiu: 100","tech_audio,music_live_events"
"interessos principals: DIY, dibuix. hobbies: DIY, dibuix. interessos: DIY, dibuix. wishlist productes: kit lettering, aquarel·les, retoladors. tags rellevants: art, creativitat, dibuix. descripcions productes: material creatiu. pressupost orientatiu: 75",art_creative
"hobbies: piscina, natació, nedar. wishlist productes: casquet de piscina, pull buoy, tovallola microfibra, ulleres de natació, gorra. tags rellevants: piscina, nedar, natació. pressupost orientatiu: 15",sports_swimming
"interessos principals: skincare, autocura, benestar. descripcions wishlist: rutines de benestar. wishlist productes: kit autocura, sals de bany, set skincare, crema mans. pressupost orientatiu: 15",wellbeing_selfcare
"hobbies: moda, streetwear. interessos: moda, streetwear. productes: sneakers Adidas, neteja sabatilles, sabatilles Nike, pack sorpresa, caixa sorpresa. tags: . notes: sabatilles i calçat",fashion_sneakers
"hobbies: gastronomia, cuinar, receptes. wishlist productes: davantal, paella antiadherent, motlle silicona. tags rellevants: cuina, receptes, estris. pressupost orientatiu: 40",cooking_tools
"interessos principals: exposicions, museus. hobbies: exposicions, museus. interessos: exposicions, museus. wishlist productes: entrada museu, exposició immersiva, entrada teatre, sessió de cinema. tags rellevants: museu, teatre, cinema, cultura. descripcions productes: entrades per activitats culturals. pressupost orientatiu: 20",experiences_cultural
